counter,Latitude,Longitude,District,Errors
0,-4.46044192,29.8113964,Buhigwe,0
1,-6.17643812,39.24487062,Magharibi,0
2,-6.82570215,37.65279782,Morogoro Urban,0
3,-3.37204916,35.8083073,Karatu,0
4,-7.17964514,31.03909501,Nkasi,0
5,-6.36233065,37.13774142,Kilosa,0
6,-8.08925722,35.83641476,Kilolo,0
7,-8.91602782,33.43390406,Mbeya Urban,0
8,-3.97224706,32.64995093,Kahama Township Authority,0
9,-8.03397315,35.76941599,Kilolo,0
10,-3.61949115,33.81397392,Kishapu,0
11,-8.8474963,34.82358667,Makambako Township Authority,0
12,-10.74350336,34.73308437,Mbinga,0
13,-8.29591748,31.50903394,Kalambo,0
14,-6.16905276,39.19848943,Mjini,0
15,-1.33874499,30.90011959,Kyerwa,0
16,-10.48837106,39.02761703,Masasi,0
17,-3.18034209,36.86123796,Meru,0
18,-1.26182551,30.67859149,Kyerwa,0
19,-7.7826408,35.66559916,Iringa Urban,0
20,-4.61491779,29.78760859,Buhigwe,0
21,-2.59741921,32.91360135,Nyamagana,0
22,-10.91885915,38.0026558,Tunduru,0
23,-8.87183105,34.95540407,Makambako Township Authority,0
24,-5.07269918,38.45452481,Korogwe,0
25,-7.77454325,35.69337587,Iringa Urban,0
26,-6.21997069,39.23239912,Magharibi,0
27,-1.3240641,31.79062686,Bukoba Urban,0
28,-3.35223512,37.34738616,Moshi Municipal,0
29,-6.81906576,37.64553234,Morogoro Urban,0
30,-4.29046851,35.85896743,Babati,0
31,-2.76226635,33.61667942,Magu,0
32,-8.89881746,33.54752,Mbeya Urban,0
33,-3.83143513,32.68175493,Kahama Township Authority,0
34,-8.56809005,32.12579976,Sumbawanga Rural,0
35,-11.46744994,36.97928803,Tunduru,0
36,-4.09021965,34.73737265,Mkalama,0
37,-10.5117961,38.99460256,Masasi,0
38,-5.03547203,36.23767486,Chemba,0
39,-2.40257714,32.32959157,Sengerema,0
40,-3.8083338,32.2274935,Kahama,0
41,-8.53949832,32.94378634,Chunya,0
42,-4.8332572,34.76190104,Singida Urban,0
43,-5.71743656,38.23601851,Handeni,0
44,-8.60398999,39.26018757,Kilwa,0
45,-2.54540703,32.95831634,Nyamagana,0
46,-3.87132116,35.65140707,Mbulu,0
47,-8.56409232,35.33905815,Mufindi,0
48,-4.22585093,34.61299078,Mkalama,0
49,-8.95365989,32.56461543,Momba,0
50,-3.99684717,33.37908427,Igunga,0
51,-2.61146616,32.07196443,Geita,0
52,-8.97814972,36.76014005,Ulanga,0
53,-2.34096694,32.29512438,Sengerema,0
54,-3.4327519,31.51375467,Bukombe,0
55,-8.12810763,30.96696583,Nkasi,0
56,-6.2650312,36.86940735,Gairo,0
57,-10.48861938,39.02782579,Masasi,0
58,-4.02596301,34.50822471,Iramba,0
59,-8.57148856,33.44991499,Chunya,0
60,-2.50670896,32.0118141,Geita,0
61,-3.363681,36.72002605,Arusha,0
62,-6.96839746,39.08681603,Ilala,0
63,-6.37275189,38.35172048,Bagamoyo,0
64,-3.25233472,30.9082292,Kakonko,0
65,-10.66296868,35.65686511,Songea Urban,0
66,-2.8528492,32.88685392,Misungwi,0
67,-10.46735817,36.13244508,Namtumbo,0
68,-6.87575725,39.2326073,Temeke,0
69,-6.88329466,39.25354774,Temeke,0
70,-3.821738,33.30840363,Shinyanga Rural,0
71,-11.263398,34.79128086,Nyasa,0
72,-7.85425891,31.1757775,Nkasi,0
73,-4.26860253,38.05357002,Same,0
74,-11.40079283,36.42848862,Namtumbo,0
75,-6.14814684,39.2228004,Magharibi,0
76,-8.79798017,34.99025617,Mufindi,0
77,-6.29072293,35.88227777,Chamwino,0
78,-4.57358799,33.03776076,Nzega,0
79,-5.24594851,39.78153458,Chake Chake,0
80,-3.20246304,37.20556708,Hai,0
81,-10.75077606,38.53076548,Masasi,0
82,-6.57002874,35.51702142,Chamwino,0
83,-6.9315708,39.2627114,Temeke,0
84,-5.95904711,36.69328201,Kongwa,0
85,-10.91989576,39.38172881,Newala,0
86,-1.94038467,32.85856349,Ukerewe,0
87,-9.33031317,33.71555106,Rungwe,0
