Latitude,Longitude,Region,Subregion,Error
-4.46044192,29.8113964,Kigoma,Buhigwe,0
-6.17643812,39.24487062,Mjini Magharibi,Mjini,0
-6.82570215,37.65279782,Morogoro,Morogoro,0
-3.37204916,35.8083073,Arusha,Karatu,0
-7.17964514,31.03909501,Rukwa,Nkasi,0
-6.36233065,37.13774142,Morogoro,Kilosa,0
-8.08925722,35.83641476,Iringa,Kilolo,0
-8.91602782,33.43390406,Mbeya,Mbeya,0
-3.97224706,32.64995093,Shinyanga,Kahama,0
-8.03397315,35.76941599,Iringa,Kilolo,0
-3.61949115,33.81397392,Shinyanga,Kishapu,0
-8.8474963,34.82358667,Njombe,Makambako,0
-10.74350336,34.73308437,Ruvuma,Mbinga,0
-8.29591748,31.50903394,Rukwa,Kalambo,0
-6.16905276,39.19848943,Mjini Magharibi,Mjini,0
-1.33874499,30.90011959,Kagera,Kyerwa,0
-10.48837106,39.02761703,Mtwara,Masasi,0
-3.18034209,36.86123796,Arusha,Meru,0
-1.26182551,30.67859149,Kagera,Kyerwa,0
-7.7826408,35.66559916,Iringa,Iringa,0
-4.61491779,29.78760859,Kigoma,Buhigwe,0
-2.59741921,32.91360135,Mwanza,Nyamangana,0
-10.91885915,38.0026558,Ruvuma,Tunduru,0
-8.87183105,34.95540407,Njombe,Makambako,0
-5.07269918,38.45452481,Tanga,Korogwe,0
-7.77454325,35.69337587,Iringa,Iringa,0
-6.21997069,39.23239912,Mjini Magharibi,Magharibi,0
-1.3240641,31.79062686,Kagera,Bukoba,0
-3.35223512,37.34738616,Kilimanjaro,Moshi,0
-6.81906576,37.64553234,Morogoro,Morogoro,0
-4.29046851,35.85896743,Manyara,Babati,0
-2.76226635,33.61667942,Mwanza,Magu,0
-8.89881746,33.54752,Mbeya,Mbeya,0
-3.83143513,32.68175493,Shinyanga,Kahama,0
-8.56809005,32.12579976,Rukwa,Sumbawanga,0
-11.46744994,36.97928803,Ruvuma,Tunduru,0
-4.09021965,34.73737265,Singida,Mkalama,0
-10.5117961,38.99460256,Mtwara,Masasi,0
-5.03547203,36.23767486,Dodoma,Chemba,0
-2.40257714,32.32959157,Mwanza,Sengerema,0
-3.8083338,32.2274935,Shinyanga,Kahama,0
-8.53949832,32.94378634,Songwe,Songwe,0
-4.8332572,34.76190104,Singida,Singida,0
-5.71743656,38.23601851,Tanga,Handeni,0
-8.60398999,39.26018757,Lindi,Kilwa,0
-2.54540703,32.95831634,Mwanza,Nyamangana,0
-3.87132116,35.65140707,Manyara,Mbulu,0
-8.56409232,35.33905815,Iringa,Mufindi,0
-4.22585093,34.61299078,Singida,Mkalama,0
-8.95365989,32.56461543,Songwe,Momba,0
-3.99684717,33.37908427,Tabora,Igunga,0
-2.61146616,32.07196443,Geita,Geita,0
-8.97814972,36.76014005,Morogoro,Ulanga,0
-2.34096694,32.29512438,Mwanza,Sengerema,0
-3.4327519,31.51375467,Geita,Bukombe,0
-8.12810763,30.96696583,Rukwa,Nkasi,0
-6.2650312,36.86940735,Morogoro,Gairo,0
-10.48861938,39.02782579,Mtwara,Masasi,0
