region,district,ward,latitude,longitude,agent_name,standalone_agent,other_activities,trading_hours,provider_selcom,selcom_deposits_per_week,selcom_withdrawls_per_week,selcom_num_tills,selcom_training,selcom_training_type,selcom_tariff_guide,selcom_guidance_service_use,provider_maxmalipo,maxmalipo_deposits_per_week,maxmalipo_withdrawls_per_week,maxmalipo_num_tills,maxmalipo_training,maxmalipo_training_type,maxmalipo_tariff_guide,maxmalipo_guidance_service_use,provider_buttonpay,buttonpay_deposits_per_week,buttonpay_withdrawls_per_week,buttonpay_num_tills,buttonpay_training,buttonpay_training_type,buttonpay_tariff_guide,buttonpay_guidance_service_use,bank_local_services,ShoppingCentres_local_services,GeneralDealer_local_services,Caf__local_services,Salon_local_services,Pharmacy_local_services,Bar_local_services,Trader_local_services,ElectronicShop_local_services,BureaudeExchange_local_services,Hotel_local_services,CellularShop_local_services,GroceryStore_local_services,Restaurant_local_services,Other_local_services,Other_local_services_detail,services_utility_payments,services_tax_payments,services_MMT_transfer,services_airtime_purchase,Other than those listed above are there any other services provided?,Please indicate,branding_but__service,Please select,branding_but_no_service_MaxMalipo,branding_but_no_service_Selcom,branding_but_no_service_ButtonPay,branding_but_no_service_other,branding_but_no_service_other_detail
Mwanza,Magu,Nyanguge,-2.36921,33.57654,Ahad Techknowledge,Conduct other business,Accessories,12 hours,Yes,5,5,1,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,
Mwanza,Ilemela,Nyakato,-2.53201,32.9478,Dady Mpesa Shop,Conduct other business,Accessories,12 hours,,,,,,,,,Yes,10,13,1,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,Yes,Yes,,Yes,Yes,,,,Yes,,,,,,Yes,Yes,Yes,,,,,,,,,
Dar es Salaam,Ilala,Segerea,-6.84188,39.21102,A City Shop,Stand Alone Agent,,12 hours,Yes,0,0,1,Yes,Formal classroom training,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,Yes,,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Kijitonyama,-6.77949,39.24092,France Corner,Conduct other business,Accessories,10 hours,,,,,,,,,Yes,12,8,1,Yes,Training from other rep,Yes,Yes,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,
Dar es Salaam,Temeke,Kigamboni,-6.82792,39.31021,A One Fashion,Stand Alone Agent,,10 hours,,,,,,,,,Yes,0,0,0,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,Yes,Yes,Yes,,,,,,,,,
Dar es Salaam,Temeke,Mtoni,-6.87032,39.279,Andyjane Kukufeed And Chicks,Conduct other business,Agrovet,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,,Yes,Yes,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Pugu,-6.89513,39.13675,Asha Shop,Conduct other business,Agrovet,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,Yes,Yes,,,,,,,,Yes,Yes,,,Yes,Yes,,Yes,,,,,,,,,
Dar es Salaam,Kinondoni,Manzese,-6.80095,39.23876,A.D Shop,Stand Alone Agent,,12 hours,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Duka,Yes,,Yes,Yes,,,,,,,,,
Dar es Salaam,Ilala,Ukonga,-6.88001,39.16119,Christina,Conduct other business,Agrovet,12 hours,Yes,0,0,1,Yes,Training from other rep,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,Carpenter,Yes,Yes,,Yes,,,,,,,,,
Dar es Salaam,Ilala,Kitunda,-6.90564,39.22088,Kairuki Kafkeria,Conduct other business,Agrovet,12 hours,,,,,,,,,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,Duka,Yes,,,Yes,,,,,,,,,
Arusha,Arusha,Sekei,-3.36276,36.70763,Maguo Agrovate,Conduct other business,Agrovet,12 hours,,,,,,,,,Yes,20,0,0,Yes,Training from other rep,No,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,Yes,Yes,,Yes,,,,,,,,,
Pwani,Bagamoyo,Magomeni,-6.44535,38.90168,R And B Store,Conduct other business,Agrovet,12 hours,Yes,0,0,1,Yes,Training from other rep,No,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,Yes,,,Yes,Yes,,Yes,,,,,,,,,
