region,district,ward,latitude,longitude,onsite_offsite,bank_type,bank_name,bank_name_short,yr_operation_started,number_atms,services_deposits,services_withdrawls,services_bill_payment,services_buy_airtime,other_services,visa_mastercard,umoja_nmb
Dar es Salaam,Ilala,Kariakoo,-6.82175,39.28,On-site,Commercial Bank ATM,Accessbank (Tanzania) Limited,Access,11/12/2003,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.81967,39.27322,On-site,UMOJA SWITCH ATM,Accessbank (Tanzania) Limited,Access,09/01/2014,1,,Yes,,,,VISA, 
Dar es Salaam,Kinondoni,Manzese,-6.80376,39.26055,On-site,Commercial Bank ATM,Accessbank (Tanzania) Limited,Access,07/05/2010,1,,Yes,,,,VISA, 
Dar es Salaam,Kinondoni,Makumbusho,-6.77668,39.24587,On-site,Commercial Bank ATM,Accessbank (Tanzania) Limited,Access,17/11/2011,1,,Yes,,,,Mastercard, 
Tabora,Tabora Urban,Kanyenye,-5.02275,32.80941,On-site,Commercial Bank ATM,Accessbank (Tanzania) Limited,Access,18/12/2013,2,Yes,Yes,Yes,Yes,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.8195,39.27768,On-site,Commercial Bank ATM,Advans Bank (Tanzania) Limited,Advans,11/08/2009,1,,Yes,,,,Both, 
Arusha,Arusha,Baraa,-6.77025,39.26077,On-site,Commercial Bank ATM,Advans Bank (Tanzania) Limited,Advans,05/10/2013,1,Yes,,,,,Mastercard, 
Arusha,Arusha,Kati,-3.37269,36.68863,On-site,Commercial Bank ATM,African Banking Corporation (Tanzania) Limited,African Banking Corp,16/04/2012,2,,Yes,,,,VISA, 
Dar es Salaam,Ilala,Ukonga,-6.87068,39.19028,On-site,Commercial Bank ATM,Akiba Commercial Bank Limited,Akiba,28/08/1996,1,Yes,Yes,Yes,Yes,,Both, 
Dar es Salaam,Ilala,Ilala,-6.83579,39.24499,On-site,UMOJA SWITCH ATM,Akiba Commercial Bank Limited,Akiba,06/09/2007,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.82791,39.26804,On-site,UMOJA SWITCH ATM,Akiba Commercial Bank Limited,Akiba,12/09/2009,1,Yes,Yes,Yes,Yes,,VISA, 
Dar es Salaam,Ilala,Kariakoo,-6.82401,39.27281,On-site,UMOJA SWITCH ATM,Akiba Commercial Bank Limited,Akiba,10/12/2013,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.82246,39.2752,On-site,Commercial Bank ATM,Akiba Commercial Bank Limited,Akiba,28/06/2007,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Kinondoni,-6.79012,39.2647,On-site,UMOJA SWITCH ATM,Akiba Commercial Bank Limited,Akiba,20/02/2010,1,,Yes,,,,VISA, 
Arusha,Arusha,Kaloleni,-3.36176,36.68451,On-site,UMOJA SWITCH ATM,Akiba Commercial Bank Limited,Akiba,24/07/2010,1,Yes,,Yes,Yes,,VISA, 
Dar es Salaam,Ilala,Kariakoo,-6.81804,39.27869,On-site,Commercial Bank ATM,Amana Bank Limited,Amana,01/05/2013,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.82226,39.2733,On-site,UMOJA SWITCH ATM,Azania Bank Limited,Azania,30/10/2009,1,,Yes,,,,Both, 
Dar es Salaam,Kinondoni,Kimara,-6.79147,39.14871,On-site,UMOJA SWITCH ATM,Azania Bank Limited,Azania,11/03/2008,1,,Yes,,,,Both, 
Mwanza,Geita,Kalangala,-2.87066,32.23779,On-site,UMOJA SWITCH ATM,Azania Bank Limited,Azania,17/01/2008,2,Yes,,,,,VISA, 
Mwanza,Ilemela,Kirumba,-2.50632,32.89476,On-site,Commercial Bank ATM,Azania Bank Limited,Azania,27/03/2010,1,,Yes,,,,VISA, 
Dar es Salaam,Temeke,Chang'ombe,-6.83954,39.25581,On-site,Commercial Bank ATM,Banc ABC,BancABC,22/06/2012,1,,Yes,,,,Both, 
Dar es Salaam,Ilala,Kivukoni,-6.81045,39.28679,On-site,Commercial Bank ATM,Banc ABC,BancABC,01/01/2014,2,,Yes,Yes,Yes,,Both, 
Dar es Salaam,Ilala,Kivukoni,-6.81731,39.29438,On-site,Commercial Bank ATM,BancABC,BancABC,15/01/2006,1,,Yes,Yes,Yes,,Both, 
Dar es Salaam,Ilala,Kariakoo,-6.81657,39.27462,On-site,Commercial Bank ATM,BancABC,BancABC,10/12/2013,1,,Yes,,,,Mastercard, 
Dar es Salaam,Ilala,Kariakoo,-6.82281,39.27608,On-site,Commercial Bank ATM,Bank M (Tanzania) Limited,Bank M,10/03/2012,1,,Yes,,,,Both, 
