region,district,ward,latitude,longitude,bank_type,bank_name,weekend_trading,yr_started,yr_started_reformatted
Dar es Salaam,Temeke,Mbagala,-6.92247,39.27113,Commercial Bank,Accessbank (Tanzania) Limited,Yes,16/05/11,2011-5-01
Shinyanga,Kahama,Kahama Mjini,-3.82858,32.60006,Commercial Bank,Accessbank (Tanzania) Limited,No,12/07/13,2013-7-01
Dar es Salaam,Temeke,Miburani,-6.86209,39.26233,Commercial Bank,Accessbank (Tanzania) Limited,Yes,05/03/98,1998-3-01
Dar es Salaam,Ilala,Kariakoo,-6.82157,39.28025,Commercial Bank,Accessbank (Tanzania) Limited,Yes,10/06/09,2009-6-01
Dar es Salaam,Ilala,Kariakoo,-6.81944,39.27418,Commercial Bank,Accessbank (Tanzania) Limited,Yes,18/12/13,2013-12-01
Dar es Salaam,Kinondoni,Manzese,-6.79895,39.23328,Commercial Bank,Accessbank (Tanzania) Limited,Yes,12/05/03,2003-5-01
Dar es Salaam,Kinondoni,Makumbusho,-6.77671,39.24596,Commercial Bank,Accessbank (Tanzania) Limited,No,18/11/10,2010-11-01
Tabora,Tabora Urban,Kanyenye,-5.02295,32.80934,Commercial Bank,Accessbank (Tanzania) Limited,Yes,18/11/11,2011-11-01
Mwanza,Nyamagana,Nyamagana,-2.51989,32.90331,Commercial Bank,Accessbank (Tanzania) Limited,Yes,04/01/12,2012-1-01
Dar es Salaam,Temeke,Miburani,-6.85601,39.26374,Commercial Bank,Advans Bank (Tanzania) Limited,Yes,16/02/12,2012-2-01
Dar es Salaam,Ilala,Kariakoo,-6.81655,39.27719,Commercial Bank,Advans Bank (Tanzania) Limited,Yes,18/12/13,2013-12-01
Dar es Salaam,Kinondoni,Manzese,-6.79884,39.23206,Commercial Bank,Advans Bank (Tanzania) Limited,No,27/04/12,2012-4-01
Dar es Salaam,Ilala,Kariakoo,-6.81728,39.27391,Commercial Bank,African Banking Corporation (Tanzania) Limited,Yes,19/12/13,2013-12-01
Dar es Salaam,Kinondoni,Kijitonyama,-6.77669,39.23261,Commercial Bank,African Banking Corporation (Tanzania) Limited,Yes,09/02/11,2011-2-01
Arusha,Arusha,Kati,-3.37301,36.68882,Commercial Bank,African Banking Corporation (Tanzania) Limited,Yes,13/10/06,2006-10-01
Dar es Salaam,Temeke,Mbagala,-6.91727,39.27075,Commercial Bank,Akiba Commercial Bank Limited,Yes,06/07/11,2011-7-01
Dar es Salaam,Ilala,Ukonga,-6.87067,39.19021,Commercial Bank,Akiba Commercial Bank Limited,Yes,28/08/97,1997-8-01
Dar es Salaam,Temeke,Tandika,-6.86729,39.26142,Commercial Bank,Akiba Commercial Bank Limited,Yes,26/03/09,2009-3-01
Dar es Salaam,Ilala,Kariakoo,-6.82778,39.26799,Commercial Bank,Akiba Commercial Bank Limited,Yes,20/09/09,2009-9-01
Dar es Salaam,Ilala,Kariakoo,-6.8257,39.26669,Commercial Bank,Akiba Commercial Bank Limited,Yes,17/12/13,2013-12-01
