region,district,ward,latitude,longitude,bus_stand_name,destination_Arusha,destination_Manyara,destination_Singida,destination_Pwani,destination_Mororgoro,destination_Iringa,destination_Ruvuma,destination_Mbeya,destination_Rukwa,destination_Tanga,destination_Kilimanjaro,destination_Tabora,destination_Kigoma,destination_Dodoma,destination_Mwanza,destination_Kagera,destination_Shiyanga,financial_services_offered_major_bus_service,tigo_pesa,mpesa,airtel_cash,ezy_pesa,voucher_money_transfer,num_people_using_vouchers_to_transfer_money,voucher_use_reason,other_services,other_services_details
Kagera,Bukoba Urban,Bakoba,-1.32997,31.8088,Bukoba Bus Stand,,,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,,No,,,,
Mara,Bunda,Bunda,-2.02196,33.86578,Bunda Bus Station,,,,,,,,,,,,,,,Yes,,Yes,Yes,Yes,Yes,Yes,,No,,,,
Dar es Salaam,Kinondoni,Manzese,-6.79719,39.22105,Dar Express Company Ltd,Yes,,,,,,,,,,Yes,,,,,,,,,,,,No,,,,
Dodoma,Dodoma Urban,Tambukareli,-6.18222,35.75169,Dodoma Bus Stend,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,No,,,,
Mwanza,Geita,Kalangala,-2.87043,32.24156,Geita Bus Stand,,,,,,,,,,,,,,,Yes,,,Yes,Yes,Yes,,,No,,,,
Tabora,Igunga,Igunga,-4.29348,33.87941,Igunga Bus Stand,Yes,Yes,Yes,,Yes,,,,,,,Yes,,Yes,Yes,,,,,,,,No,,,,
Kigoma,Kasulu,Kasulu Mjini,-4.86562,29.64831,Kasulu Bus Stand,,,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Yes,Yes,Yes,,No,,,,
Manyara,Kiteto,Kibaya,-5.30998,36.55706,Kibaya Bus Stand,Yes,Yes,,Yes,Yes,,,,,Yes,Yes,,,Yes,,,,,,,,,No,,,,
Kigoma,Kigoma Urban,Gungu,-4.86553,29.64875,Kigoma Bus Stand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,Yes,,Yes,,,,,,No,,,,
Kilimanjaro,Moshi Urban,Kilimanjaro,-3.35058,37.34213,Kilimanjaro Moshi Bus Stand,Yes,,Yes,,Yes,Yes,,Yes,,Yes,,,,,Yes,,Yes,Yes,Yes,Yes,,,No,,,,
Dodoma,Kondoa,Kondoa Mjini,-4.90539,35.77999,Kondoa Bus Stand,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,Yes,,,Yes,,,,,,No,,,,
Tanga,Korogwe,Korogwe,-5.1566,38.44927,Korogwe Bus Stand,,,,,,,,,,Yes,,,,,,,,Yes,Yes,Yes,Yes,,No,,,,
Mbeya,Kyela,Kyela Mjini,-9.60218,33.86941,Kyela Bus Stand,,,,,Yes,Yes,,Yes,,,,,,,,,,Yes,Yes,Yes,Yes,,No,,,,
Shinyanga,Maswa,Nyalikungu,-3.1841,33.77866,Maswa Bus Stand,,,,,,,,,,,,,,,Yes,,Yes,,,,,,No,,,,
Dar es Salaam,Temeke,Mbagala,-6.91737,39.26941,Mbagala Bus Terminal,,,,Yes,,,Yes,,,,,,,,,,,Yes,Yes,Yes,,,No,,,,
Dar es Salaam,Temeke,Temeke,-6.85798,39.26092,Meridian Express (Temeke),,,,,,,,,,,Yes,,,,,,,,,,,,No,,,,
Pwani,Kibaha,Mlandizi,-6.71882,38.74231,Muhamed Trans,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,No,,,,
Mwanza,Nyamagana,Mkuyuni,-2.59447,32.92491,Nyegezi Bus Stand,Yes,Yes,Yes,,Yes,,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,,,
Manyara,Simanjiro,Orkesumet,-4.46112,37.20525,Orkesumet Bus Stand,Yes,Yes,,Yes,,,,,,Yes,,,,Yes,,,,,,,,,No,,,,
Tabora,Tabora Urban,Chemchem,-5.0223,32.8035,Tabora Bus Stand,,,Yes,,Yes,,,,,,,Yes,,Yes,,,,,,,,,No,,,,
