region,district,ward,latitude,longitude,microfinance_name,yr_operation_started,yr_started_reformatted,reg_no,MFI_mob_fin_services,tigo_pesa,m_pesa,ezy_pesa,airtel_cash,other_mobfin_services,other_mobfin_services_detail
Shinyanga,Kahama,Kahama Mjini,-3.82849,32.60023,Access Bank Microfinance,09/07/13,2013-7-01,0,Yes,,Yes,,,,
Dar es Salaam,Kinondoni,Makumbusho,-6.77679,39.24608,Access Bank Microfinance,19/12/10,2010-12-01,0,Yes,,Yes,,,,
Dar es Salaam,Ilala,Kariakoo,-6.82173,39.27973,Access Bank Microfinance,21/05/11,2011-5-01,669532,Yes,,Yes,,,,
Dar es Salaam,Kinondoni,Kawe,-6.7684,39.21735,African Microfinance Ltd,19/04/00,2000-4-01,734924,,,,,,,
Dar es Salaam,Kinondoni,Kunduchi,-6.65983,39.18134,Akiba Commercial Bank Microfinance,14/09/10,2010-9-01,0,Yes,Yes,,Yes,Yes,,
Dar es Salaam,Kinondoni,Tandale,-6.79626,39.23589,Akiba Commercial Bank Microfinance,16/05/07,2007-5-01,0,Yes,Yes,Yes,,,,
Dar es Salaam,Ilala,Buguruni,-6.83825,39.24386,Akiba Commercial Bank Microfinance,18/02/06,2006-2-01,128,,,,,,,
Dar es Salaam,Kinondoni,Ubungo,-6.79479,39.21576,Akiba Commercial Bank Microfinance,26/04/09,2009-4-01,79800760,,,,,,,
Dar es Salaam,Temeke,Tandika,-6.8673,39.26124,Akiba Commercial Bank Microfinance,22/04/10,2010-4-01,222856571,,,,,,,
Dar es Salaam,Ilala,Kariakoo,-6.82419,39.27228,Akiba Commercial Bank Microfinance,20/01/09,2009-1-01,235689505,,,,,,,
Kilimanjaro,Moshi Urban,Kilimanjaro,-3.35497,37.33931,Akiba Commercial Bank Microfinance,25/10/11,2011-10-01,ACB1030,,,,,,,
Dar es Salaam,Ilala,Ukonga,-6.87069,39.19032,Akiba Commercial Bank Microfinance,17/01/97,1997-1-01,DBS/C.20/8,,,,,,,
Kagera,Karagwe,Kituntu,-1.41803,31.14534,Akiba Commercial Bank Microfinance,01/06/12,2012-6-01,KAR 477,,,,,,,
Singida,Manyoni,Manyoni,-5.7487,34.83728,Amacha Credit (T) Ltd,25/01/11,2011-1-01,00/05,,,,,,,
Dodoma,Dodoma Urban,Madukani,-6.17814,35.74353,Amacha Credit (T) Ltd,29/12/13,2013-12-01,104-654-007,,,,,,,
Arusha,Arusha,Ngarenaro,-3.3754,36.67862,Amani Microfinance,16/12/07,2007-12-01,ar/2921,,,,,,,
Dar es Salaam,Kinondoni,Sinza,-6.7876,39.22262,Amsha Microfinance,18/03/07,2007-3-01,D1789000,,,,,,,
Mbeya,Rungwe,Tukuyu,-9.2497,33.64166,Balimi Vicoba Microfinance,02/02/03,2003-2-01,84438,,,,,,,
Mbeya,Mbozi,Vwawa,-8.90548,33.44344,Banc Abc Microfinance,05/12/13,2013-12-01,104 109 824,,,,,,,
Pwani,Mkuranga,Mkuranga,-7.12393,39.20224,Banc Abc Microfinance,19/05/13,2013-5-01,0653 854885,,,,,,,
Arusha,Arusha,Kati,-3.36754,36.68483,Bayport Financial Services,20/05/12,2012-5-01,0,,,,,,,
Singida,Singida Urban,Ipembe,-4.81625,34.75096,Bayport Financial Services,10/07/10,2010-7-01,0,,,,,,,
Shinyanga,Bukombe,Ushirombo,-3.47069,31.89914,Bayport Financial Services,20/08/13,2013-8-01,215,,,,,,,
Shinyanga,Bariadi,Bariadi,-2.80447,33.98812,Bayport Financial Services,08/12/08,2008-12-01,421,,,,,,,
Shinyanga,Kahama,Kahama Mjini,-3.82918,32.60196,Bayport Financial Services,01/06/07,2007-6-01,752,,,,,,,
Mara,Bunda,Bunda,-2.02488,33.87324,Bayport Financial Services,11/09/12,2012-9-01,1850,,,,,,,
Mara,Tarime,Susuni,-1.34318,34.37776,Bayport Financial Services,17/03/13,2013-3-01,5501,,,,,,,
Mara,Tarime,Tarime,-1.34215,34.37637,Bayport Financial Services,08/12/13,2013-12-01,7860,,,,,,,
Mara,Musoma Urban,Mukendo,-1.49487,33.80772,Bayport Financial Services,04/05/13,2013-5-01,9931,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.0199,32.80742,Bayport Financial Services,24/08/02,2002-8-01,45566,,,,,,,
Tanga,Korogwe,Korogwe,-5.15893,38.45074,Bayport Financial Services,01/11/09,2009-11-01,55322,,,,,,,
Lindi,Nachingwea,Nambambo,-10.36926,38.76313,Bayport Financial Services,12/02/10,2010-2-01,60322,Yes,,Yes,,,,
Mbeya,Chunya,Itewe,-8.52099,33.42101,Bayport Financial Services,27/04/05,2005-4-01,1426232,,,,,,,
