region,district,ward,latitude,longitude,business_name,financial_institution_name,yr_started,visa,mastercard,other_cards,other_cards_details,business_type,business_type_detail
Dar es Salaam,Ilala,Kivukoni,-6.8102,39.29562,A To Z Supermarket,CRDB,02/02/2013 00:00,Yes,Yes,,,Grocery Store,
Dar es Salaam,Ilala,Kivukoni,-6.81526,39.29286,Abc Computer Ltd,CRDB,30/07/2013 00:00,Yes,Yes,,,Stationary,
Ruvuma,Songea Urban,Bomba Mbili,-10.66382,35.65184,Abiudi Msigwa,CRDB,24/02/2013 00:00,Yes,Yes,,,Duka,
Tanga,Muheza,Mbaramo,-5.17381,38.78804,Acha 2 Phone,CRDB,23/09/2013 00:00,,,,,Electronic Shop,
Arusha,Arusha,Kati,-3.36287,36.69558,Afican Galleria,Exim Bank,27/12/2013 00:00,Yes,Yes,,,Hotel,
Dar es Salaam,Ilala,Upanga West,-6.8036,39.28773,Aga Khan Hospital,Barclays Bank,01/02/2011 00:00,Yes,Yes,,,General Dealer,
Dar es Salaam,Ilala,Upanga West,-6.80367,39.28816,Aga Khan Hospital,Barclays Bank,01/02/2011 00:00,Yes,Yes,,,Pharmacy,
Dar es Salaam,Ilala,Upanga West,-6.80392,39.28816,Aga Khan Hospital,Barclays Bank,01/02/2011 00:00,Yes,Yes,,,Pharmacy,
Dar es Salaam,Ilala,Kivukoni,-6.81842,39.28635,Ak'S Fashions,CRDB,13/03/2013 00:00,Yes,Yes,,,Salon,
Mtwara,Mtwara Rural,Ziwani,-10.34491,40.24823,Almas Shop,Tanzania Postal Bank,13/09/2012 00:00,Yes,Yes,,,General Dealer,
Mwanza,Geita,Kalangala,-2.8735,32.23138,Alpha  Hotel Ltd,CRDB,06/01/2010 00:00,Yes,Yes,,,Hotel,
Dar es Salaam,Ilala,Kariakoo,-6.82033,39.27662,Amaly Investment,CRDB,20/06/2013 00:00,,,,,Wholesale,
Mwanza,Geita,Kalangala,-2.88077,32.22063,Ambassador Pub,CRDB,02/01/2010 00:00,Yes,Yes,,,Hotel,
Dar es Salaam,Ilala,Ukonga,-6.92019,39.14767,Amina Rajabu,Equit Bank,01/10/2013 00:00,Yes,Yes,,,Other,None
Kagera,Bukoba Urban,Mimbeni,-1.33028,31.81142,Amiri Hamza,CRDB,08/04/2013 00:00,Yes,Yes,,,Duka,
Dar es Salaam,Ilala,Ukonga,-6.87126,39.18906,Anasima Joel,CRDB,14/02/2014 00:00,Yes,Yes,,,Duka,
