region,district,ward,latitude,longitude,post_office_name,post_office_yr_started,services_mail,services_fin_services,services_agency_services,services_EMS_courier,services_ebusiness,services_philatel,services_other_services,services_other_services_detail
Arusha,Arumeru,Akheri,-3.37348,36.78644,Tengeru Post Office,21/10/2013,,Yes,,Yes,,Yes,,
Dar es Salaam,Ilala,Kisutu,-6.8165,39.28235,Post Office kisutu,19/06/2009,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bank
Arusha,Arusha,Kati,-3.37418,36.68566,Posta Uhuru Road,18/08/1998,Yes,Yes,Yes,Yes,,Yes,,
Arusha,Arusha,Kati,-3.37198,36.6945,posta meru,02/10/1982,Yes,Yes,Yes,Yes,Yes,Yes,,
Arusha,Arusha,Kati,-3.3697,36.69588,Arusha Posta,22/08/1983,Yes,Yes,,Yes,,Yes,,
Arusha,Arusha,Elerai,-3.36412,36.67663,ATC Post Office,10/12/2013,,Yes,,Yes,,,,
Manyara,Babati,Babati,-4.21688,35.7179,Boman Post Office,09/03/1978,Yes,Yes,Yes,Yes,,,,
Manyara,Babati,Babati,-4.21424,35.74862,Babati Post Office,01/01/1994,Yes,Yes,Yes,Yes,Yes,Yes,,
Pwani,Bagamoyo,Dunda,-6.44653,38.90877,Bagamoyo post office,01/01/1970,Yes,Yes,Yes,Yes,,,,
Shinyanga,Bariadi,Bariadi,-2.79758,33.98922,Bariabi post office,09/09/1989,,Yes,,Yes,,Yes,,
Kagera,Biharamulo,Katende,-2.63522,31.31233,Biharamulo Post,26/03/1991,Yes,Yes,,Yes,,,,
Kagera,Bukoba Rural,Kishanje,-1.25184,31.42096,Kyaka Post Office,09/02/1997,Yes,,,Yes,,,,
Kagera,Bukoba Urban,Birere,-1.33157,31.81274,BUKOBA POST OFFICE,20/05/1983,Yes,,,Yes,,,,
Shinyanga,Bukombe,Masumbwe,-3.64625,32.16475,Masumbwe Post Office,02/07/2001,Yes,,Yes,Yes,,Yes,,
Shinyanga,Bukombe,Ushirombo,-3.46744,31.89827,Ushirimbo post office,14/04/2003,,Yes,,,,Yes,,
Mara,Bunda,Bunda,-2.02052,33.86959,BUNDA POST OFFICE,21/01/2012,Yes,Yes,,Yes,,,,
Kilimanjaro,Rombo,Mahida Holili,-3.28434,37.52283,Mahida Holili Post Office,13/04/1991,Yes,,,Yes,,Yes,Yes,3rd Party Payments
Mbeya,Chunya,Mkwajuni,-8.44478,33.01215,Mkwajuni Post Office,17/10/1980,,,,,,,,
Dodoma,Dodoma Urban,Ng'ong'ona,-6.2047,35.79699,Posta Office Udom,30/01/2014,Yes,Yes,Yes,Yes,,Yes,,
Dodoma,Dodoma Urban,Kikuyu South,-6.19694,35.72929,St johns Post Office,09/01/2008,Yes,Yes,Yes,,,Yes,,
Dodoma,Dodoma Urban,Tambukareli,-6.18423,35.74901,Dodoma Posta Office,11/12/1997,Yes,Yes,Yes,Yes,Yes,Yes,,
Dodoma,Dodoma Urban,Viwandani,-6.17928,35.75137,Maktaba Post Office,07/06/2005,,,Yes,Yes,,Yes,,
Dodoma,Dodoma Urban,Majengo,-6.17837,35.7422,Soko kuu Post Office,23/06/1996,Yes,Yes,Yes,Yes,,Yes,,
Dodoma,Dodoma Urban,Makole,-6.17658,35.75129,Makole Posta Office,06/02/2000,Yes,Yes,Yes,Yes,,Yes,,
Dodoma,Dodoma Urban,Kizota,-6.15266,35.72487,Nkuhungu Post,22/04/2010,,,,Yes,Yes,Yes,,
Dodoma,Dodoma Urban,Miyuji,-6.12133,35.74468,Mipango Post Office,17/11/2012,,Yes,Yes,,,Yes,,
Mwanza,Geita,Kalangala,-2.87327,32.22873,Geita Post Officce,14/01/1988,Yes,Yes,Yes,Yes,Yes,Yes,,
Kilimanjaro,Hai,Machame Magharibi,-3.33468,37.14495,Machame Post Office,01/01/1970,,,,,,,,
Kilimanjaro,Hai,Hai Mjini,-3.33303,37.14844,HAI Post Office,05/10/1985,Yes,Yes,Yes,Yes,,Yes,,
Kilimanjaro,Hai,Masama Magharibi,-3.24262,37.18978,Masama Mula Post Office,15/12/1970,,,,,,,,
Manyara,Hanang,Katesh,-4.52375,35.38466,Katesh Post Office,10/07/1973,,Yes,Yes,Yes,,,,
Dar es Salaam,Ilala,Ukonga,-6.87831,39.16784,Ukonga Posta office,01/01/1970,Yes,,,Yes,,,,
Dar es Salaam,Ilala,Kipawa,-6.8647,39.20277,Posta airport,17/12/2003,Yes,Yes,,Yes,,,,
