region,district,ward,latitude,longitude,SACCO_name,SACCO_yr_started,linked_mob_fin_services,tigo_pesa,m_pesa,ezy_pesa,airtel_cash,other_mob_fin_services,other_mob_fin_services_detail
Rukwa,Sumbawanga Urban,Katandala,-7.95806,31.61371,2 Ways Saccos Ltd,22/04/2009,,,,,,,
Arusha,Arusha,Kimandolu,-3.36767,36.70687,Aar Workers Saccos,07/12/2010,,,,,,,
Mara,Bunda,Bunda,-2.10549,33.08824,Abajuni Saccos,27/04/2013,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.02299,32.80904,Acs,12/12/2008,,,,,,,
Arusha,Arusha,Kati,-3.36985,36.69519,Acu Saccos,03/11/2007,,,,,,,
Manyara,Babati,Dareda,-4.23449,35.51444,Adada Saccos,01/07/1998,,,,,,,
Mbeya,Mbeya Urban,Iyunga,-8.93476,33.41507,Afri Savings Saccos Ltd,03/10/1995,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.02394,32.80162,Afric,14/06/2012,,,,,,,
Tabora,Tabora Urban,Kanyenye,-5.02377,32.81,Afya Bora Project,03/08/2008,,,,,,,
Tabora,Tabora Urban,Cheyo,-5.03032,32.81616,Afya Jamii,07/10/2012,,,,,,,
Mbeya,Chunya,Itewe,-8.52097,33.42103,Afya Saccos,03/10/2004,,,,,,,
Dodoma,Dodoma Urban,Madukani,-6.18235,35.7446,Afya Saccos,17/04/2003,,,,,,,
Manyara,Hanang,Katesh,-4.51733,35.38953,Afya Saccos (Katesh),08/01/2005,,,,,,,
Mbeya,Kyela,Kyela Mjini,-9.6036,33.86916,Afya Saccos Kyela Hospital,22/10/2007,,,,,,,
Dar es Salaam,Kinondoni,Ubungo,-6.79033,39.21287,Agape Saccos,30/05/2005,,,,,,,
Shinyanga,Meatu,Mwanhuze,-3.52566,34.31258,Akiba Na Mikopo,09/12/2006,,,,,,,
Kagera,Bukoba Rural,Maruku,-1.40889,31.77799,Akiba Saccos Ltd,12/02/2008,,,,,,,
Shinyanga,Kahama,Segese,-3.53071,32.41778,Akina Mama Saccos,21/09/2012,,,,,,,
Tabora,Tabora Urban,Cheyo,-5.03519,32.81997,Alpha,16/10/2012,Yes,,Yes,,,,
